no,uclu,baslik,turkce_aciklama
117,"TR,DF_BIYOTEKNOLOJI_TEKNIK_ARASTIRAN_KULLANAN,1.0",Enterprises researching/using biotechnology techniques,Biyoteknoloji tekniklerini araştıran/kullanan girişimlerin sayısını içerir.
118,"TR,DF_ERP_CRM_V1,1.0","Enterprises using enterprise resource planning (ERP), customer relationship management (CRM) and business intelligence (BI) software by economic activitiy and size group (Nace Rev 2 .1)(%)","Ekonomik faaliyete ve büyüklük grubuna göre kurumsal kaynak planlaması (ERP), müşteri ilişkileri yönetimi (CRM) ve iş zekası (BI) yazılımı kullanan girişimlerin oranını içerir."
119,"TR,DF_ERP_CRM_SCM,1.0","Enterprises using enterprise resource planning (ERP), customer relationship management (CRM), supply chain management (SCM) and business intelligence (BI) software by economic activitiy and size group (%)","Ekonomik faaliyete ve büyüklük grubuna göre kurumsal kaynak planlaması (ERP), müşteri ilişkileri yönetimi (CRM), tedarik zinciri yönetimi (SCM) ve iş zekası (BI) yazılımı kullanan girişimlerin oranını içerir."
120,"TR,DF_KAMU_ILETISIM,1.0",Enterprises using internet for interaction with public authorities by economic activity and size group (%),Ekonomik faaliyet ve büyüklük grubuna göre kamu ile iletişimde internet kullanan girişimlerin oranını içerir.
121,"TR,DF_DF_CEVRESEL_MAL_HIZMET_SEKTOR,1.0",Environmental Goods and Services Sector Output by Environmental Activity,Çevresel Faaliyetlere göre Çevresel Mal ve Hizmetler Sektörü Üretim Değeri ile ilgili veri içerir.
122,"TR,DF_DF_CEVRE_KORUMA_V2,1.0",Environmental Protection Expenditure by Domains,Konulara göre çevre koruma harcamalarını içermektedir.
123,"TR,DF_CEVRE_KORUMA_HARCAMA_SEKTORLERI,1.0",Environmental Protection Expenditure by Institutional,Kurumsal Sektörlere Göre Toplam Çevre Koruma Harcamaları
124,"TR,DF_CEVRESEL_VERGI,1.0",Environmental Taxes,Çevresel vergiler ile ilgili veri içerir.
125,"TR,DF_ENERJISIZ_IHRACAT_BDE,1.0",Export Unit Value Index Excluding Energy,Enerji Hariç İhracat Birim Değer Endeksi
126,"TR,DF_ALTINSIZ_IHRACAT_BDE,1.0",Export Unit Value Index Excluding Gold,Altın Hariç İhracat Birim Değer Endeksi
127,"TR,DF_ALTINSIZ_ENERJISIZ_IHRACAT_BDE,1.0",Export Unit Value Index Excluding Gold and Energy,Altın ve Enerji Hariç İhracat Birim Değer Endeksi
128,"TR,DF_ENERJISIZ_IME,1.0",Export Volume Index Excluding Energy,Enerji Hariç İhracat Miktar Endeksi
129,"TR,DF_ALTINSIZ_IME,1.0",Export Volume Index Excluding Gold,Altın Hariç İhracat Miktar Endeksi
130,"TR,DF_ALTINSIZ_ENERJISIZ_IME,1.0",Export Volume Index Excluding Gold and Energy,Altın ve Enerji Hariç İhracat Miktar Endeksi
131,"TR,DF_IHRACAT_BIRIM_DEGER_V1,1.0",Export unit value index,İhracat Birim Değer Endeksi
132,"TR,DF_IHRACAT_MIKTAR_ENDEKS_V1,1.0",Export volume index,İhracat Miktar endeks rakamları
133,"TR,DF_TAKVIM_ETKISINDEN_ARINDIRILMIS_IHRACAT_V2,1.0",Export volume index (Seasonally and calendar adjusted),Mevsim ve Takvim Etkisinden Arındırılmış İhracat Miktar Endeksi
134,"TR,DF_TRAFIK_KAZA_OLUMLU_YARALANMALI_KAZA_KUSUR_V1,1.0",Faults Causing Road Traffic Accidents Involving Death or Injury,"Ölüm veya yaralanma ile sonuçlanan trafik kazalarına neden olan sürücü, yaya veya araç kaynaklı kusur türlerini gösterir."
135,"TR,DF_EVLENME_ILK_YAS_GR_EGT,1.0",First Marriages by Age Group and Educational Attainment,Yıllar itibarıyla yaş grubu ve eğitim durumuna göre ilk kez evlenme sayısıdır.
136,"TR,DF_EVLENME_ILK_YASGR,1.0",First Marriages by Province and Age Group,Yıllar itibarıyla il ve yaş grubuna göre ilk evlenme sayısıdır.
137,"TR,DF_ADNKS_T13,1.1",Foreign population by country of citizenship,"Tablo, son 2 yıl için vatandaşlık ülkesi (tabiiyet) ve cinsiyete göre yabancı uyruklu nüfus bilgisini içermektedir. ADNKS’de yabancı nüfus kapsamında: referans tarihinde geçerli ikamet veya çalışma iznine sahip kişiler; ikamet izni yerine geçen kimlik belgesi olan (uluslararası koruma vb.) ve referans tarihinde geçerli adres beyanı olan kişiler ile izinle Türk vatandaşlığından çıkmış (mavi kart hâmili) ve referans tarihinde geçerli adres beyanı olan kişiler yer almaktadır. Kurs, turizm, bilimsel araştırma vb. nedenlerle 90 günden kısa süreli vize veya ikamet iznine sahip yabancılar ile geçici koruma statüsüyle ülkede bulunan Suriyeliler ADNKS’ye dâhil değildir."
138,"TR,DF_ADNKS_T12,1.1",Foreign population by provinces and sex,"Tablo, 2007 yılından itibaren ikamet edilen il ve cinsiyete göre yabancı uyruklu nüfus bilgisini içermektedir. ADNKS’de yabancı nüfus kapsamında: referans tarihinde geçerli ikamet veya çalışma iznine sahip kişiler; ikamet izni yerine geçen kimlik belgesi olan (uluslararası koruma vb.) ve referans tarihinde geçerli adres beyanı olan kişiler ile izinle Türk vatandaşlığından çıkmış (mavi kart hâmili) ve referans tarihinde geçerli adres beyanı olan kişiler yer almaktadır. Kurs, turizm, bilimsel araştırma vb. nedenlerle 90 günden kısa süreli vize veya ikamet iznine sahip yabancılar ile geçici koruma statüsüyle ülkede bulunan Suriyeliler ADNKS’ye dâhil değildir"
139,"TR,DF_ADNKS_T01,1.1",Foreign-born population by age group and sex,"Tablo, 2014 yılından itibaren yıllık olarak Türkiye toplamı için yaş grubu ve cinsiyete göre yurt dışı doğumlu nüfus bilgisini içermektedir. Yaş grupları geniş yaş grupları (0-14, 15-64, 65+) şeklinde verilmiştir."
140,"TR,DF_ADNKS_T02,1.1",Foreign-born population by place of birth and sex,"Tablo, 2014 yılından itibaren yıllık olarak Türkiye toplamı için cinsiyete göre yurt dışı doğumlu nüfus bilgisini içermektedir."
141,"TR,DF_MUHTEMEL_EGITIM_SURE_CINSIYET_ESITSIZLIK_ENDEKS,1.0","Gender parity index by school life expectancy, province and level of education","İl, eğitim seviyesi ve muhtemel eğitim süresine göre cinsiyet eşitliği endeksi bilgilerini içerir."
142,"TR,DF_DOGUM_GDH_C,1.0",General Fertility Rate by Provinces,Yıllar itibarıyla illere göre genel doğurganlık hızıdır.
143,"TR,DF_DOLAYLI_ARGE_TESVIK_V2,1.0",Government tax relief for R&D,Dolaylı Ar-Ge teşvikleriyle ilgili verileri içermektedir.
144,"TR,DF_SERA_GAZI_EMISYONLARI,1.0",Greenhouse Gas Emisssions,Sera gazı emisyonları ile ilgili verileri içerir.
145,"TR,DF_SGP_GORE_GSYH_BIREYSEL_TUKETIM_ENDEKSLERI_V3,1.0",Gross domestic product per capita and actual individual consumption indices based on purchasing power parity by countries,Satınalma gücü paritesine göre kişi başına gayrisafi yurt içi hasıla ve fiili bireysel tüketim endeks değerlerini sunmaktadır.
146,"TR,DF_BD_HIZLI_BUYUYEN,1.1",High growth and gazelle enterprises indicators,Hızlı büyüyen ve ceylan girişim göstergeleridir.
147,"TR,DF_BESERI_KALKINMA_ENDEKS,1.0","Human development index, sub-indices, and change ratios by provinces","İllere göre beşeri kalkınma endeksi, alt endeksleri ve değişim oranlarını içerir."
148,"TR,DF_ENERJISIZ_ITHALAT_BDE,1.0",Import Unit Value Index Excluding Energy,Enerji Hariç İthalat Birim Değer Endeksi
149,"TR,DF_ALTINSIZ_ITHALAT_BDE,1.0",Import Unit Value Index Excluding Gold,Altın Hariç İthalat Birim Değer Endeksi
150,"TR,DF_ALTINSIZ_ENERJISIZ_ITHALAT_BDE,1.0",Import Unit Value Index Excluding Gold and Energy,Altın ve Enerji Hariç İthalat Birim Değer Endeksi
151,"TR,DF_ENERJISIZ_ITHALAT_ME,1.0",Import Volume Index Excluding Energy,Enerji Hariç İthalat Miktar Endeksi
152,"TR,DF_ALTINSIZ_ITHALAT_ME,1.0",Import Volume Index Excluding Gold,Altın Hariç İthalat Miktar Endeksi
153,"TR,DF_ALTINSIZ_ITHALAT_ENERJISIZ_ME,1.0",Import Volume Index Excluding Gold and Energy,Altın ve Enerji Hariç İthalat Miktar Endeksi
154,"TR,DF_ITHALAT_BIRIM_DEGER_ENDEKSI_V1,1.0",Import unit value index,İthalat Birim Değer Endeksi
155,"TR,DF_ITHALAT_MIKTAR_ENDEKS_V1,1.0",Import volume index,İthalat Miktar Endeksi
156,"TR,DF_TAKVIM_ETKISINDEN_ARINDIRILMIS_ITHALAT_V2,1.0",Import volume index (Seasonally and calendar adjusted),Mevsim ve Takvim Etkisinden Arındırılmış İthalat Miktar Endeksi
157,"TR,DF_GELIR_TABLOSU_NACEREV2,1.0",Income Statement of Companies by Economic Activity and Year (NACE Rev.2) (2009-2022),Ekonomik Faaliyetlere ve Yıllara göre Firmaların Gelir Tablosu (NACE Rev.2) (2009-2022)
158,"TR,DF_GELIR_TABLOSU_NACEREV21,1.0",Income Statement of Companies by Economic Activity and Year (NACE Rev.2.1),Ekonomik Faaliyetlere ve Yıllara Göre Firmaların Gelir Tablosu (NACE Rev.2.1)
159,"TR,DF_INSAAT_URETIM_ENDEKS_C,1.0",Index and Change Rates of Production in Construction [2021=100],"İnşaat Üretim Endeksi ve Değişim Oranları (2021=100) verileri, inşaat üretim endeksi ve değişim oranlarını içermektedir. Aylık değişim oranları mevsim ve takvim etkisinden arındırılmış endeks serileri üzerinden hesaplanırken yıllık değişim oranları takvim etkisinden arındırılmış endeks serileri ile hesaplanır. 2021=100 temel yıllı olarak hesaplanan inşaat üretim endeksi inşaat üretimindeki değişimleri takip etmek için kullanılmaktadır. İnşaat Üretim Endeksi ve Değişim Oranları (2021=100) verileri, inşaat üretim endeksi ve değişim oranlarını içermektedir. Aylık değişim oranları mevsim ve takvim etkisinden arındırılmış endeks serileri üzerinden hesaplanırken yıllık değişim oranları takvim etkisinden arındırılmış endeks serileri ile hesaplanır. 2021=100 temel yıllı olarak hesaplanan inşaat üretim endeksi inşaat üretimindeki değişimleri takip etmek için kullanılmaktadır."
160,"TR,DF_TUFE_SDMX_TT10,1.0",Index numbers and rate of changes in the consumer price index,Tüketici fiyat endeksi ve değişim oranları
161,"TR,DF_TUFE_SDMX_TT06,1.0",Indicators for the CPIs having specified coverages,Özel Kapsamlı TÜFE Göstergeleri
162,"TR,DF_BIYOTEKNOLOJI_EGITIM_DURUMU,1.0",Indicators on the educational status of individuals engaged in biotechnology activities,Biyoteknoloji faaliyeti yürütenlerin eğitim durumuna ilişkin göstergeleri içerir.
163,"TR,DF_GUVEN_ENDEKS_SEKTOREL_EGILIM_SDMX,1.0","Indices Concerning the Tendency and Monthly Changes by Services, Retail Trade and Construction Sectors","Hizmet, İnşaat ve Perakende Ticaret Sektörleri Eğilimine İlişkin Endeksler ve Aylık Değişim Oranları"
164,"TR,DF_TUKETICI_EGILIM_SDMX,1.0",Indices concerning the consumer tendency and monthly changes,Tüketici eğilimine ilişkin endeksler ve aylık değişim oranları
165,"TR,DF_SANAYI_URETIM_ENDEKS_ETKI_C,1.0",Industrial Production Index Impact [2021=100],Sanayi Üretim Endeksi Etki [2021=100]
166,"TR,DF_SANAYI_URETIM_ENDEKS_ANA_C,1.0",Industrial Production Index [2021=100] (Main Indices),"Türkiye’de NACE Rev.2 ekonomik sınıflamasına göre sanayi sektöründe faaliyet gösteren girişimler tarafından üretilen toplam çıktının değişimini ölçen, 2021=100 bazlı bir hacim endeksidir."
167,"TR,DF_SANAYI_URETIM_ENDEKS_ALT_C,1.0",Industrial Production Index [2021=100] (Sub Indices),"Türkiye’de NACE Rev.2 ekonomik sınıflamasına göre sanayi sektöründe faaliyet gösteren girişimler tarafından üretilen toplam çıktının değişimini ölçen, 2021=100 bazlı bir hacim endeksidir."
168,"TR,DF_SANAYI_URETIM_ENDEKS_ANA_O,1.0",Industrial Production Index [2021=100]-Revision History ( Main Indices),"Türkiye’de NACE Rev.2 ekonomik sınıflamasına göre sanayi sektöründe faaliyet gösteren girişimler tarafından üretilen toplam çıktının değişimini ölçen, 2021=100 bazlı bir hacim endeksidir."
169,"TR,DF_SANAYI_URETIM_ENDEKS_SINIF_O,1.0",Industrial Production Index [2021=100]-Revision History (Class - 4 digit level Indices),"Türkiye’de NACE Rev.2 ekonomik sınıflamasına göre sanayi sektöründe faaliyet gösteren girişimler tarafından üretilen toplam çıktının değişimini ölçen, 2021=100 bazlı bir hacim endeksidir."
170,"TR,DF_SANAYI_URETIM_ENDEKS_GRUP_O,1.0",Industrial Production Index [2021=100]-Revision History (Group -  3 digit level Indices ),"Türkiye’de NACE Rev.2 ekonomik sınıflamasına göre sanayi sektöründe faaliyet gösteren girişimler tarafından üretilen toplam çıktının değişimini ölçen, 2021=100 bazlı bir hacim endeksidir."
171,"TR,DF_KURUMSAL_SEKTOR_HESAPLARI_CARI_FIYATLARLA_V1,1.0","Institutional Sector Accounts, Current Prices","Bu tablo, toplam ekonomi ile mali olmayan şirketler, mali şirketler, genel devlet, hanehalkı ve hanehalkına hizmet eden kâr amacı olmayan kuruluşlar ile dış âlem için cari ve sermaye hesaplarında yer alan kaynaklar ve kullanımların cari fiyatlarla derlenmiş tutarlarını göstermektedir."
172,"TR,DF_UHTI_EKONOMIK_C,1.0",International Trade in Services by Economic Groups,"Ekonomik gruplarda toplam hizmet ihracat, ithalat ve denge değerlerinin yer aldığı tablodur."
173,"TR,DF_UHTI_COGRAFI_C,1.0",International Trade in Services by Geographical Breakdowns,"Coğrafi (ülke ve kıta) kırılımlarda toplam hizmet ihracat, ithalat ve denge değerlerinin yer aldığı tablodur."
174,"TR,DF_UHTI_HIZMET_TURU_C,1.0",International Trade in Services by Type of Services,"Hizmet türleri kırılımlarında hizmet ihracat, ithalat ve denge değerlerinin yer aldığı tablodur."
175,"TR,DF_UHTI_HIZMET_EKONOMIK_C,1.0",International Trade in Services by Type of Services and Economic Groups,"Hizmet türlerine ve seçili ekonomik gruplar hizmet ihracat, ithalat ve denge değerlerinin yer aldığı tablodur."
176,"TR,DF_UHTI_HIZMET_COGRAFI_C,1.0",International Trade in Services by Type of Services and Geographical Breakdowns,"Coğrafi kırılımlarda seçili hizmet türlerine göre hizmet ihracat, ithalat ve denge değerlerinin yer aldığı tablodur."
177,"TR,DF_TEKIL_ZIY_SAY_SAYFA_GOR_SAY,1.0",Internet news websites publishing official announcements and the number of unique visitors and page views,Resmi ilan yayımlayan internet haber sitelerinin tekil ziyaretçi sayıları ile sayfa görüntülenme sayılarını içerir.
178,"TR,DF_COCUKLARDA_BILIISIM_TEKNOLOJILERI_T3,1.1",Internet usage purposes of children who use Internet regularly by sex and age group,Cinsiyete ve yaş grubuna göre düzenli internet kullanan çocukların İnternet kullanım amaçları
179,"TR,DF_ISGUCU_MALIYET,1.0",Labour cost indices,İşgücü maliyeti endeksleri ile ilgili verileri içerir.
180,"TR,DF_ISGUCU_GIRDI,1.0",Labour input indices,İşgücü girdi endeksleri ile ilgili değişkenleri içerir.
181,"TR,DF_DNG_YS,1.0",Life Expectancy at Birth of Selected Countries by Sex (Year),Yıllar itibarıyla seçilmiş ülkelerin cinsiyete göre doğuşta beklenen yaşam süresinin yıl cinsinden değeridir..
182,"TR,DF_GENEL_DEVLET_ANA_BILESEN_V2,1.0",Main Aggregates of General Government,"Genel devletin üretim sürecinde ortaya çıkan çıktıları, bu üretim için yapılan harcamaları ve oluşan katma değerin bileşenlerini gösteren ekonomik akım sınıflamasıdır."
183,"TR,DF_GENEL_DEVLET_ANA_BILESENLERI_CEYREKLIK,1.0","Main Aggregates of General Government, Quarterly","Genel devlet ve alt sektörlerinin üretim süreci çıktılarını, bu üretime yönelik harcamalarını ve oluşan katma değer bileşenlerini çeyreklik dönemler bazında gösteren ekonomik akım sınıflaması veri akışıdır."
184,"TR,DF_ISGUCU_AYLIK_TEMEL_ISGUCU_C,1.0",Main Labour Force Indicators,"Türkiye’de cinsiyet düzeyinde 15+ ve 15–24 yaş grupları için aylık temel işgücü göstergelerini (nüfus, işgücü, istihdam, işsiz, işgücüne dahil olmayanlar, işgücüne katılma oranı, istihdam oranı, işsizlik oranı) sunmaktadır."
185,"TR,DF_ISGUCU_CEYREK_TEMEL_ISGUCU_C,1.0",Main Labour Force Indicators,"15 ve üzeri ile 15–24 yaş gruplarına ait temel işgücü göstergeleri (nüfus, işgücü, istihdam, işsizler, işgücüne dâhil olmayanlar, işgücüne katılma oranı, istihdam oranı ve işsizlik oranı), cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
186,"TR,DF_ISGUCU_CEYREK_EGITIM_DURUM_C,1.0",Main Labour Force Indicators By Educutional Level,"Temel işgücü göstergelerinin eğitim durumuna göre dağılımı, cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
187,"TR,DF_ISGUCU_AYLIK_TEMEL_ISGUCU_O,1.0",Main Labour Force Indicators-Revision History,"Türkiye’de cinsiyet düzeyinde 15+ ve 15–24 yaş grupları için aylık temel işgücü göstergelerini (nüfus, işgücü, istihdam, işsiz, işgücüne dahil olmayanlar, işgücüne katılma oranı, istihdam oranı, işsizlik oranı) sunmaktadır."
188,"TR,DF_ISGUCU_CEYREK_TEMEL_ISGUCU_O,1.0",Main Labour Force Indicators-Revision History,"15 ve üzeri ile 15–24 yaş gruplarına ait temel işgücü göstergeleri (nüfus, işgücü, istihdam, işsizler, işgücüne dâhil olmayanlar, işgücüne katılma oranı, istihdam oranı ve işsizlik oranı), cinsiyet kırılımında çeyreklik olarak sunulmaktadır."
189,"TR,DF_GUVEN_ENDEKS_FAALIYET_KISITLAMA_SDMX,1.0",Main factors limiting activities by sectors (%),Sektörlere göre faaliyetleri kısıtlayan temel faktörler (%)
190,"TR,DF_ATIK_IMALAT_SANAYI_GOSTERGELER_V1,1.0",Manufacturing Industry Waste Indicators,İmalat sanayide oluşan atık miktarına ve atıkların yönetimine ilişkin göstergeleri Türkiye bazında ve tüm yıllar için zaman serisi olarak sunmaktadır.
191,"TR,DF_ATIK_IMALAT_SANAYI_YONETIM_V1,1.0",Manufacturing Industry Waste Management Statistics,İmalat sanayide oluşan atık miktarı ve atıkların yönetimine ilişkin istatistikleri sunmaktadır.
192,"TR,DF_SU_ATIKSU_IMALAT_SANAYI_V1,1.0",Manufacturing Industry Wastewater Indicators,"İmalat sanayi tarafından deşarj edilen atıksuyun alıcı ortam ve arıtılma durumu bazında miktarı, atıksu arıtma tesislerinin tesis tipi bazında sayısı ve kapasitesine ilişkin göstergeleri Türkiye bazında ve tüm yıllar için zaman serisi olarak sunmaktadır."
193,"TR,DF_SU_ATIKSU_IMALAT_GOSTERGE_V1,1.0",Manufacturing Industry Water Indicators,İmalat sanayi tarafından kaynaklardan çekilen ve tüketilen su miktarlarına ilişkin göstergeleri Türkiye bazında ve tüm yıllar için zaman serisi olarak sunmaktadır.
194,"TR,DF_EVLENME_EGT_YAS_GR,1.0",Marriages by Age Group and Educational Attainment,Yıllar itibarıyla yaş grubu ve eğitim durumuna göre evlenme sayısıdır.
195,"TR,DF_EVLENME_ERKKAD_UYRUK,1.0",Marriages by Citizenship of Male and Female,Yıllar itibarıyla erkek ve kadınların uyruklarına göre evlenme sayısıdır.
196,"TR,DF_EVLENME_DOGUMULKE,1.0",Marriages by Country of Birth of Male and Female,Yıllar itibarıyla erkeklerin ve kadınların doğdukları ülkeye göre evlenme sayısıdır.
197,"TR,DF_EVLENME_ERK_KAD_EGT,1.0",Marriages by Educational Attainment of Male and Female,Yıllar itibarıyla erkeğin ve kadının eğitim durumuna göre evlenme sayısıdır.
198,"TR,DF_EVLENME_ERKKAD_YASFARK,1.0",Marriages by Province and Age Difference of Spouses,Yıllar itibarıyla il ve eşlerin yaş farkına göre evlenme sayısıdır.
199,"TR,DF_EVLENME_IL_AY,1.0",Marriages by Province and Month,Yıllar itibarıyla aya göre evlenme sayısıdır.
200,"TR,DF_EVLENME_YAS_GR_CINS,1.0","Marriages by Province, Age Group and Sex","Yıllar itibarıyla il, yaş grubu ve cinsiyete göre evlenme sayısıdır."
201,"TR,DF_MADDE_AKIS_HESAPLARI,1.0",Material Flow Accounts,Madde akış hesapları ile ilgili veri içerir.
202,"TR,DF_EVLENME_ORT_ILK_EVL_YAS,1.0",Mean Age at First Marriage by Provinces,Yıllar itibarıyla ile göre ortalama ilk evlenme yaşıdır.
203,"TR,DF_EVLENME_ORT_EVL_YAS,1.0",Mean Age at Marriage by Provinces,Yıllar itibarıyla ile göre ortalama evlenme yaşıdır.
204,"TR,DF_DOGUM_ORTYAS_ILKDOG_C,1.0",Mean Age of Mother at Birth of First Child by Provinces,Yıllar itibarıyla illere göre ilk doğumdaki ortalama anne yaşıdır.
205,"TR,DF_DOGUM_ANNE_ORTYAS_C,1.0",Mean Age of Mother by Provinces,Yıllar itibarıyla illere göre annenin ortalama yaşıdır.
206,"TR,DF_ORTALAMA_EGITIM_SURE,1.0",Mean years of schooling,Ortalama eğitim süresi ile ilgili verileri içerir.
207,"TR,DF_ADNKS_T23,1.1",Median age by provinces and sex,"Tablo, 2007 yılından itibaren il düzeyinde cinsiyete göre yıllık ortanca (medyan) yaş bilgisini içermektedir. Ortanca (medyan) yaş: Nüfusu oluşturan kişilerin yaşları, küçükten büyüğe doğru sıralandığında ortada kalan kişinin yaşıdır."
208,"TR,DF_ADNKS_T28,1.1","Median age by years and sex, Population Censuses - ABPRS","Tablo, 1935 yılından itibaren Türkiye toplamı için cinsiyete göre yıllık ortanca (medyan) yaş bilgisini içermektedir. Ortanca (medyan) yaş: Nüfusu oluşturan kişilerin yaşları, küçükten büyüğe doğru sıralandığında ortada kalan kişinin yaşıdır. 1935-2000 dönemi için bilgiler: 1935-1990 döneminde 5 yılda bir ve sonuncusu 2000 yılında gerçekleştirilen Genel Nüfus Sayımı (GNS) sonuçlarına göre verilmiştir. 2007 yılından itibaren ise yıllık bilgiler Adrese Dayalı Nüfus Kayıt Sistemi (ADNKS) sonuçlarıdır."
209,"TR,DF_SUT_URUNLERI_AYLIK_V2,1.0",Milk and Dairy Products - Basic Products - Monthly,Süt ve Süt Ürünleri - Temel Ürünler - Aylık
210,"TR,DF_SUT_URUNLER_YILLK_V2_2023,1.0",Milk and Dairy Products - Product Details (2023 and earlier) - Annual,Süt ve Süt Ürünleri - Ürün Detayları (2023 ve öncesi) - Yıllık
211,"TR,DF_SUT_URUNLERI_YILLIK_V2,1.0",Milk and Dairy Products - Product Details - Annual,Süt ve Süt Ürünleri - Ürün Detayları - Yıllık
212,"TR,DF_ATIK_MADEN_ISLETMELERI_V1,1.0",Mining Establishments Waste Statistics,Maden işletmelerinde oluşan atık miktarına ve atıkların yönetimine ilişkin istatistikleri sunmaktadır.
213,"TR,DF_DOGUM_COGUL_C,1.0",Multiple Births,Yıllar itibarıyla çoğul doğum sayısıdır.
214,"TR,DF_ATIK_BELEDIYE_ARITMA_CAMURU_V1,1.0",Municipal Sewage Sludge Statistics,Belediye atıksu arıtma tesislerinde oluşan çamurların miktarına ve yönetimine ilişkin istatistikleri sunmaktadır.
215,"TR,DF_ATIK_BELEDIYE_ATIKYONETIMI_V1,1.0",Municipal Waste Management Statistics (by Provinces),Belediyeler tarafından toplanan atıkların miktarına ve yönetimine ilişkin istatistikleri sunmaktadır.
216,"TR,DF_ATIK_BELEDIYE_HIZMET_V1,1.0",Municipal Waste Services Statistics (by Provinces),Belediyeler tarafından sunulan atık toplama ve yönetim hizmetlerine ilişkin istatistikleri sunmaktadır.
217,"TR,DF_ATIK_BELEDIYE_HIZMET_YONETIM_GOSTERGE_V1,1.0",Municipal Waste Services and Management Indicators,Belediyeler tarafından toplanan atık miktarı ve sunulan atık yönetim hizmetlerine ilişkin göstergeleri Türkiye bazında ve tüm yıllar için zaman serisi olarak sunmaktadır.
218,"TR,DF_SU_ATIKSU_BELEDIYE_GOSTERGELER_V1,1.0",Municipal Wastewater Indicators,Belediyelerin atıksu hizmetlerine ilişkin göstergeleri Türkiye bazında ve tüm yıllar için zaman serisi olarak sunmaktadır.
219,"TR,DF_SU_ATIKSU_BELEDIYE_GOSTERGE_V1,1.0",Municipal Water Indicators,Belediyelerin su hizmetlerine ilişkin göstergeleri Türkiye bazında ve tüm yıllar için zaman serisi olarak sunmaktadır.
220,"TR,DF_SU_ATIKSU_BELEDIYE_ICME_KULLANMA_TESIS_V1,1.0",Municipalities Drinking Water Treatment Plants (by Provinces),Belediyelere ait içme ve kullanma suyu arıtma tesislerine ilişkin istatistikleri arıtma tesis tipine göre sunmaktadır.
221,"TR,DF_SU_ATIKSU_BELEDIYE_ARITMA_TESIS_V1,1.0",Municipalities Wastewater Treatment Plants (by Provinces),Belediyelere ait atıksu arıtma tesislerine ilişkin istatistikleri arıtma tesis tipine göre sunmaktadır.
222,"TR,DF_DF_MERKEZI_YONETIM_BUTCESI,1.0",National public funding to transnationally  coordinated R&D,Uluslararası düzeyde koordine edilen Ar-Ge faaliyetlerine ayrılan kamu finansmanı
223,"TR,DF_MERKEZI_YONETIM_BUTCESI,1.0",National public funding to transnationally coordinated R&D,Uluslararası düzeyde koordine edilen Ar-Ge faaliyetlerine ayrılan kamu finansmanı ile ilgili veri içerir.
224,"TR,DF_YDUFE_EDO_V1,1.0",Non-Domestic Producer Price Index and Rate of Change [2010=100],Yurt Dışı Üretici Fiyat Endeksi ve Değişim Oranları [2010=100]
225,"TR,DF_YAYIN_TUR_TIRAJ,1.0",Number and annual domestic circulation of newspapers publishing official advertisements by type of publication,Resmi ilan yayımlayan gazetelerin yayın türlerine göre sayısı ve yıllık yurt içi tiraj sayısını içerir.
226,"TR,DF_ADNKS_T18,1.1",Number and population of municipalities,"Tablo, 2007 yılından itibaren Türkiye toplamı için yıllık olarak türlerine göre belediye sayısı ve toplam belediye nüfusu bilgilerini içermektedir. Tablodaki keskin artış/azalışlar için lütfen dipnotlarını okuyunuz."
227,"TR,DF_TRAFIK_KAZA_GUN_ISIGI_OLU_YARALI_V1,1.0","Number of Accidents Involving Death or Injury, Persons Killed and Injured by Daylight Condition",Kazaların gün ışığı (gündüz/gece) durumuna göre dağılımını ve bu kazalarda ölen ve yaralanan kişi sayılarını gösterir.
228,"TR,DF_TARMSAL_ALET,1.1",Number of Agricultural Tools and Machinery,Tarımsal Alet ve Makine Sayısı gösteren Dataflowdur.
229,"TR,DF_BOSANMA_VEL_VER_ORAN,1.0",Number of Children Given to Guardianship and Proportion of Children Given to Parent's Guardianship,Yıllar itibarıyla velayete verilen çocuk sayısı ile annenin ve babanın velayetine verilen çocuk oranıdır.
230,"TR,DF_TARIM_BICERDOVER_YAS_GRUP,1.0",Number of Combine Harvesters (By Age Group),Biçerdöver Sayısı (Yaş Grubuna Göre)
231,"TR,DF_BOSANMA_VEL_AL,1.0",Number of Divorced Persons by The Number of Children Whose Guardianship Were Taken by Parents,Yıllar itibarıyla velayetini aldığı çocuk sayısına göre boşanan kişi sayısıdır.
232,"TR,DF_BOSANMA_IL_ILCE,1.0",Number of Divorces by Province and District,Yıllara göre il ve ilçe düzeyinde boşanma sayısıdır.
233,"TR,DF_BR_FAALIYET_BUYUKLUK_GIRISIM_IBBS3_24_28,1.0","Number of Enterprises by Economic Activity and Size Group (At IBSS 3 level, 2024 and Beyond)",Ekonomik Faaliyet ve Büyüklük Grubuna Göre Girişim Sayısı (İBSS 3 Düzeyinde 2024 ve Sonrası)
234,"TR,DF_BR_FAALIYET_BUYUKLUK_GIRISIM_TR_IBBS1_2_V1,1.0",Number of Enterprises by Economic Activity and Size Group (At TR–NUTS Level 1 and NUTS Level 2),Ekonomik Faaliyet ve Büyüklük Grubuna Göre Girişim Sayısı (TR-İBBS 1-İBBS 2 Düzeylerinde)
